video_path,prompt,clip_score
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/A clown fish swimming in a coral reef - Left to Right.mp4,A clown fish swimming in a coral reef - Left to Right,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/A colorful parrot walking on the beach - L shape.mp4,A colorful parrot walking on the beach - L shape,0.39
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/A Fish swimming in the ocean - Bottom Right to Top Left.mp4,A Fish swimming in the ocean - Bottom Right to Top Left,0.28
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/A Fish swimming in the ocean - Right to Left.mp4,A Fish swimming in the ocean - Right to Left,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/A Fish swimming in the ocean - Top Left to Bottom Right.mp4,A Fish swimming in the ocean - Top Left to Bottom Right,0.29
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/A macro video of a bee pollinating a flower - Left to Right.mp4,A macro video of a bee pollinating a flower - Left to Right,0.34
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/A whit cat walking on the grass - Top Right to Top Left to Bottom Right.mp4,A whit cat walking on the grass - Top Right to Top Left to Bottom Right,0.29
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/A white cat walking on the grass to A yellow dog walking on the grass - Top Right to Bottom Left.mp4,A white cat walking on the grass to A yellow dog walking on the grass - Top Right to Bottom Left,0.35
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/A white horse galloping on a street - Left to Right.mp4,A white horse galloping on a street - Left to Right,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/A yellow cat walking on grass - U shape.mp4,A yellow cat walking on grass - U shape,0.3
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/A yellow cat walking on grass - Z shape.mp4,A yellow cat walking on grass - Z shape,0.3
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Dataset_V2/A black cat walking on the grass moving from left to right_zoomed_out.mp4,A black cat walking on the grass moving from left to right_zoomed_out,0.35
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Dataset_V2/A bus moving on the empty road from left to right.mp4,A bus moving on the empty road from left to right,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Dataset_V2/A car is moving on an empty road from left to right.mp4,A car is moving on an empty road from left to right,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Dataset_V2/A colorful parrot walking on the sand - L shape.mp4,A colorful parrot walking on the sand - L shape,0.36
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Dataset_V2/A duck diving underwater in search of food from right to left.mp4,A duck diving underwater in search of food from right to left,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Dataset_V2/A rabbit walking on the ground from left to right.mp4,A rabbit walking on the ground from left to right,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Dataset_V2/A skateboarder performing tricks at a skate park.mp4,A skateboarder performing tricks at a skate park,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Dataset_V2/A white horse galloping on a ground.mp4,A white horse galloping on a ground,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Dataset_V2/white cat on the grass.mp4,white cat on the grass,0.31
